raceId,circuitType_RACE,circuitType_ROAD,circuitType_STREET,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,Bgap_average
761,True,False,False,169.72727272727272,97.5,227.74211528476712,51866.47107438016,863.0,169.72727272727272
762,True,False,False,317.42857142857144,92.0,573.383406293071,328768.5306122449,1243.0,303.0
763,True,False,False,205.0909090909091,132.0,231.132569022217,53422.26446280992,752.0,205.0909090909091
764,True,False,False,227.27272727272728,134.5,258.67427426261247,66912.38016528926,1758.0,227.27272727272728
765,True,False,False,217.0909090909091,89.5,355.1617952799066,126139.90082644628,653.0,217.0909090909091
766,True,False,False,552.8095238095239,204.0,1106.2802374257712,1223855.9637188208,1709.0,527.6818181818181
767,True,False,False,226.42857142857144,150.0,224.12699874095009,50232.91156462584,1644.0,216.13636363636363
768,True,False,False,144.95238095238096,63.0,196.0763884647478,38445.95011337868,1335.0,138.36363636363637
769,False,False,True,300.27272727272725,100.5,542.7281407028236,294553.83471074386,1413.0,300.27272727272725
770,True,False,False,198.0909090909091,130.5,225.09894977561007,50669.53719008264,1538.0,198.0909090909091
771,True,False,False,189.72727272727272,122.0,206.11695308030204,42484.19834710744,1530.0,189.72727272727272
772,True,False,False,161.57142857142858,116.0,149.1383414751525,22242.244897959183,1080.0,154.22727272727272
773,False,False,True,148.71428571428572,97.0,230.9127113697053,53320.68027210884,989.0,141.95454545454547
774,False,False,True,168.63636363636363,110.5,165.06239741783202,27245.595041322315,1114.0,168.63636363636363
775,True,False,False,121.4090909090909,54.0,140.1708889148298,19647.878099173555,902.0,121.4090909090909
776,True,False,False,141.8181818181818,65.0,294.24582122059974,86580.60330578513,584.0,141.8181818181818
777,True,False,False,156.22727272727272,97.0,173.6181630156408,30143.26652892561,1026.0,156.22727272727272
778,True,False,False,228.54545454545453,114.5,379.5659874685497,144070.3388429752,947.0,228.54545454545453
779,True,False,False,203.3181818181818,134.0,253.9698239704932,64500.67148760332,1138.0,203.3181818181818
780,True,False,False,210.8181818181818,87.5,345.88511444798286,119636.51239669422,1039.0,210.8181818181818
