raceId,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,Bgap_average
760,245.45454545454547,126.5,408.4332289118245,166817.70247933883,1499.0,245.45454545454547
761,169.72727272727272,97.5,227.74211528476712,51866.47107438016,863.0,169.72727272727272
762,,,,,1243.0,
763,205.0909090909091,132.0,231.132569022217,53422.264462809915,752.0,205.0909090909091
764,227.27272727272728,134.5,258.67427426261247,66912.38016528926,1758.0,227.27272727272728
765,217.0909090909091,89.5,355.1617952799066,126139.90082644629,653.0,217.0909090909091
766,,,,,1709.0,
767,,,,,1644.0,
768,,,,,1335.0,
769,300.27272727272725,100.5,542.7281407028236,294553.83471074386,1413.0,300.27272727272725
770,198.0909090909091,130.5,225.09894977561012,50669.53719008264,1538.0,198.0909090909091
771,189.72727272727272,122.0,206.11695308030204,42484.198347107435,1530.0,189.72727272727272
772,,,,,1080.0,
773,,,,,989.0,
774,168.63636363636363,110.5,165.06239741783202,27245.595041322315,1114.0,168.63636363636363
775,121.4090909090909,54.0,140.1708889148298,19647.878099173555,902.0,121.4090909090909
776,141.8181818181818,65.0,294.24582122059974,86580.60330578513,584.0,141.8181818181818
777,156.22727272727272,97.0,173.6181630156408,30143.266528925615,1026.0,156.22727272727272
778,228.54545454545453,114.5,379.5659874685497,144070.3388429752,947.0,228.54545454545453
779,203.3181818181818,134.0,253.96982397049322,64500.671487603315,1138.0,203.3181818181818
780,210.8181818181818,87.5,345.88511444798286,119636.51239669422,1039.0,210.8181818181818
781,169.45454545454547,76.0,178.11276491255023,31724.157024793385,1778.0,169.45454545454547
782,204.86363636363637,155.0,281.0290013268681,78977.29958677685,1410.0,204.86363636363637
783,223.4090909090909,131.5,276.94857728973784,76700.51446280991,1156.0,223.4090909090909
784,179.77272727272728,79.5,213.62178383518292,45634.26652892562,1390.0,179.77272727272728
785,161.63636363636363,85.0,169.00982904567883,28564.322314049587,957.0,161.63636363636363
786,176.0,132.5,181.3011056477343,32870.09090909091,953.0,176.0
787,149.6818181818182,125.5,147.11386633972165,21642.489669421488,952.0,149.6818181818182
788,206.22727272727272,96.5,335.94438552428477,112858.63016528926,1174.0,206.22727272727272
789,132.36363636363637,85.5,163.18409722389268,26629.049586776862,400.0,132.36363636363637
790,116.55,80.0,119.57695221069986,14298.647499999997,620.0,116.55
791,135.65,94.5,139.30372392725187,19405.527500000004,729.0,135.65
792,350.3157894736842,114.0,962.3889711836663,926192.5318559557,982.0,350.3157894736842
793,101.45,69.5,136.5724990618536,18652.047499999997,663.0,101.45
794,117.4,86.0,128.4917896209715,16510.14,578.0,117.4
795,118.0,85.0,102.53584739007134,10513.6,878.0,118.0
796,152.25,134.0,116.2952600065884,13524.5875,1063.0,152.25
797,105.05,69.5,130.28064898518122,16973.047499999997,494.0,105.05
798,120.5,50.5,172.26070358616326,29673.75,777.0,120.5
799,110.15,55.0,118.07763336042946,13942.327500000003,692.0,110.15
800,,,,,812.0,
801,131.15,82.5,153.6145419548553,23597.4275,815.0,131.15
802,139.6,107.5,168.04951651224707,28240.639999999996,768.0,139.6
803,87.0,51.0,101.82043016998111,10367.4,339.0,87.0
804,,,,,822.0,
805,116.15,80.0,115.08226405489249,13243.927500000002,922.0,116.15
806,127.1,52.0,206.7302348472521,42737.39,835.0,127.1
807,84.25,112.0,59.29997892073825,3516.4875,692.0,84.25
808,112.5,69.5,122.75402233735561,15068.55,555.0,112.5
809,113.7,78.0,113.38434636227349,12856.010000000002,1065.0,113.7
810,95.1,44.0,102.0930457964694,10422.989999999998,457.0,95.1
811,105.85,64.0,113.23704120118998,12822.627499999999,672.0,105.85
812,115.1,53.0,239.83221218176675,57519.48999999999,514.0,115.1
813,100.05,60.5,127.7385904885442,16317.147499999997,468.0,100.05
814,166.85,69.5,321.8627463686968,103595.62750000002,706.0,166.85
815,122.7,53.0,184.36650997401887,33991.009999999995,544.0,122.7
816,99.8,56.5,152.65896632690792,23304.760000000002,590.0,99.8
817,129.75,55.0,179.19873743974873,32112.1875,645.0,129.75
818,91.89473684210526,48.0,96.71384527065405,9353.567867036012,919.0,91.89473684210526
819,1056.35,194.5,3274.3044036100246,10721069.327499999,1846.0,1056.35
820,124.45,95.5,105.30359680466762,11088.847500000003,966.0,124.45
821,459.2083333333333,195.5,745.2027676616315,555327.1649305555,1285.0,459.2083333333333
822,278.9166666666667,110.5,464.07721310383494,215367.65972222225,1166.0,278.9166666666667
823,570.5833333333334,213.0,943.6367996863105,890450.4097222221,1955.0,570.5833333333334
824,250.83333333333334,131.0,415.19650635438745,172388.1388888889,1107.0,250.83333333333334
825,296.9583333333333,107.0,390.9384520150057,152832.8732638889,1730.0,296.9583333333333
826,249.2608695652174,158.0,294.00727843568245,86440.27977315692,1235.0,249.2608695652174
827,240.20833333333334,109.5,280.47340622102166,78665.33159722223,1139.0,240.20833333333334
828,527.1666666666666,159.5,1585.295047897674,2513160.3888888885,896.0,527.1666666666666
829,219.33333333333334,106.0,331.6780148812332,110010.30555555555,936.0,219.33333333333334
830,306.375,145.0,455.32587345951106,207321.65104166666,1511.0,306.375
831,,,,,1227.0,
832,320.0,136.0,444.1068752751602,197230.91666666666,2502.0,320.0
833,,,,,1663.0,
834,210.75,123.5,315.44403227831083,99504.9375,1180.0,210.75
835,,,,,2209.0,
836,274.1666666666667,117.0,391.2687340207778,153091.22222222216,1061.0,274.1666666666667
837,320.75,122.5,381.79774859647006,145769.52083333334,1413.0,320.75
838,388.5833333333333,254.0,402.911582180949,162337.7430555556,3186.0,388.5833333333333
839,245.91666666666666,133.0,340.55076917970524,115974.82638888888,1264.0,245.91666666666666
