raceId,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,gapWeightedSum
421,478.6,388.0,367.5785630310886,135113.99999999997,3793.0,0.11416134884100938
422,338.28,263.0,307.97422229790595,94848.1216,3502.0,0.14112303071929067
423,376.44,248.0,475.6386090300072,226232.08640000003,2488.0,0.028183241652209513
424,228.2,170.5,186.8062097468925,34896.56,2233.0,0.037541612538645006
425,475.52,187.0,598.4806175641781,358179.0496,1978.0,-0.05961921692809467
426,721.5833333333334,215.5,1829.779515785683,3348093.0763888885,3295.0,0.10663968349939029
427,415.24,257.0,411.32870359361016,169191.30240000002,3239.0,0.08788578469434223
428,297.61538461538464,185.5,396.2992339637268,157053.0828402367,1348.0,-0.07121983848428522
429,436.84615384615387,181.5,600.3991423857257,360479.13017751486,3343.0,0.11129630578606367
430,574.8461538461538,326.5,1036.4617582580463,1074252.9763313606,2295.0,-0.02533610385746149
431,443.61538461538464,208.5,588.6121275393418,346464.2366863905,2951.0,0.06248395494273934
432,504.04,302.0,670.1200179072403,449060.8384,2368.0,-0.02344401660028083
433,474.8888888888889,332.0,651.9827499043511,425081.5061728396,2033.0,-0.050349173602794714
434,377.3333333333333,137.0,565.3916374546972,319667.7037037037,2984.0,0.09510847032327052
435,399.2916666666667,235.5,517.0801420127144,267371.8732638889,2352.0,0.007229651327494591
436,338.65384615384613,197.5,418.003215142925,174726.68786982246,3317.0,0.13314910399334076
437,622.1818181818181,403.0,652.546037133406,425816.33057851245,4348.0,0.14137657051699576
438,704.8,345.0,1402.791787828828,1967824.8,3061.0,0.04023887207339236
439,771.5384615384615,464.0,985.658554968326,971522.7869822488,3755.0,0.0413943006856867
440,359.5,183.5,376.4843954269553,141740.5,3724.0,0.16525141430551848
441,553.0769230769231,306.5,705.9125530434904,498312.5325443788,4277.0,0.17221671251105283
442,317.11538461538464,203.0,294.3812712117343,86660.33284023668,2346.0,0.020764832488311666
443,445.08,310.0,472.1629312006609,222937.83360000004,2431.0,-0.010841052685021085
