raceId,TCCAPE
1042,305.5
1043,356.5
1044,407.5
1045,458.5
1046,509.0
1047,560.0
1048,585.25
1049,636.25
1050,687.25
1051,738.25
1052,789.25
1053,840.25
1054,890.75
1055,941.75
1056,992.75
1057,1043.75
1058,0.0
1059,51.0
1060,102.0
1061,153.0
1062,204.0
1063,255.0
1064,306.0
1065,357.0
1066,408.0
1067,459.0
1068,510.0
1069,561.0
1070,612.0
1071,663.0
1072,714.0
1073,765.0
1074,816.0
1075,866.5
1076,917.0
1077,968.0
1078,1019.0
1079,1070.0
1080,0.0
1081,50.5
1082,101.5
1083,152.5
1084,203.5
1085,254.5
1086,305.5
1087,356.5
1088,407.5
1089,458.5
1090,509.5
1091,560.5
1092,611.5
1093,662.5
1094,713.0
1095,764.0
1096,815.0
1097,866.0
1098,917.0
1099,968.0
1100,1019.0
1101,1070.0
1102,0.0
1103,51.0
1104,102.0
1105,153.0
1106,204.0
1107,255.0
1108,305.5
1109,356.5
1110,407.5
1111,458.5
1112,509.5
1113,560.0
1114,611.0
1115,662.0
1116,713.0
1117,764.0
1118,815.0
1119,866.0
1120,916.5
1121,967.0
1122,1018.0
1123,1069.0
1124,1120.0
1125,1171.0
