raceId,TCCAPE
421,0.0
422,12.5
423,25.0
424,37.5
425,50.0
426,62.5
427,75.0
428,87.5
429,100.0
430,112.5
431,125.0
432,137.5
433,150.0
434,162.5
435,175.0
436,187.5
437,0.0
438,12.5
439,25.0
440,37.5
441,50.5
442,63.0
443,75.5
444,88.0
445,101.0
446,113.5
447,126.0
448,138.5
449,151.0
450,164.0
451,176.5
452,189.0
453,0.0
454,12.5
455,25.0
456,37.5
457,50.0
458,62.5
459,76.5
460,89.0
461,101.5
462,114.0
463,126.5
464,139.0
465,151.5
466,164.0
467,176.5
468,189.0
469,0.0
470,12.5
471,25.0
472,37.5
473,50.0
474,62.5
475,75.0
476,87.5
477,100.0
478,112.5
479,125.0
480,137.5
481,150.0
482,162.5
483,178.0
484,190.5
485,0.0
486,12.5
487,25.0
488,37.5
489,50.0
490,62.5
491,75.0
492,87.5
493,100.0
494,112.5
495,125.0
496,137.5
497,150.0
498,162.5
499,175.0
500,187.5
501,0.0
502,13.0
503,26.0
504,39.0
505,52.0
506,65.0
507,78.0
508,91.0
509,104.0
510,117.0
511,130.0
512,143.0
513,156.0
514,169.0
515,182.0
516,195.0
517,0.0
518,13.0
519,26.0
520,39.0
521,52.0
522,65.0
523,78.0
524,91.0
525,104.0
526,117.0
527,130.0
528,143.0
529,156.0
530,169.0
531,182.0
532,195.0
533,0.0
534,13.0
535,26.0
536,39.0
537,52.0
538,65.0
539,78.0
540,91.0
541,104.0
542,117.0
543,130.0
544,143.0
545,156.0
546,169.0
547,182.0
548,195.0
549,0.0
550,13.0
551,26.0
552,39.0
553,52.0
554,65.0
555,78.0
556,91.0
557,104.0
558,117.0
559,130.0
560,143.0
561,156.0
562,169.0
563,182.0
564,195.0
565,0.0
566,13.0
567,26.0
568,39.0
569,52.0
570,65.0
571,78.0
572,91.0
573,104.0
574,117.0
575,130.0
576,143.0
577,156.0
578,169.0
579,182.0
580,195.0
581,208.0
582,0.0
583,13.0
584,26.0
585,39.0
586,52.0
587,65.0
588,78.0
589,91.0
590,104.0
591,117.0
592,130.0
593,143.0
594,156.0
595,169.0
596,182.0
597,195.0
598,0.0
599,13.0
600,26.0
601,39.0
602,52.0
603,65.0
604,78.0
605,91.0
606,104.0
607,117.0
608,130.0
609,143.0
610,156.0
611,169.0
612,182.0
613,195.0
614,208.0
615,0.0
616,13.0
617,26.0
618,39.0
619,52.0
620,65.0
621,78.0
622,91.0
623,104.0
624,117.0
625,130.0
626,143.0
