raceId,ALPC
421,2.4444444444444446
422,0.5714285714285714
423,1.5
424,1.4545454545454546
425,3.1666666666666665
426,1.0909090909090908
427,1.3333333333333333
428,1.4545454545454546
429,1.5555555555555556
430,3.090909090909091
431,1.3333333333333333
432,3.6
433,1.4
434,1.5
435,3.3333333333333335
436,2.6
437,2.0
438,2.1666666666666665
439,0.2222222222222222
440,1.6666666666666667
441,1.8181818181818181
442,1.0
443,1.25
444,1.6
445,2.0
446,1.2857142857142858
447,2.4
448,2.6153846153846154
449,4.4
450,1.25
451,3.142857142857143
452,2.25
453,0.75
454,2.4444444444444446
455,0.6666666666666666
456,2.533333333333333
457,2.4615384615384617
458,0.75
459,0.8
460,3.111111111111111
461,2.888888888888889
462,1.5
463,0.7692307692307693
464,2.0
465,1.0909090909090908
466,1.8461538461538463
467,2.25
468,0.8
469,3.230769230769231
470,1.8333333333333333
471,3.4285714285714284
472,2.7142857142857144
473,2.75
474,2.2857142857142856
475,4.3076923076923075
476,1.6363636363636365
477,1.0909090909090908
478,3.6666666666666665
479,1.4666666666666666
480,1.2
481,3.3846153846153846
482,1.3333333333333333
483,1.5555555555555556
484,2.2857142857142856
485,1.6923076923076923
486,2.923076923076923
487,1.3333333333333333
488,0.6666666666666666
489,2.3333333333333335
490,3.8947368421052633
491,3.6470588235294117
492,2.769230769230769
493,1.6363636363636365
494,3.875
495,2.0
496,1.3846153846153846
497,2.142857142857143
498,0.8888888888888888
499,1.7777777777777777
500,1.5
501,3.090909090909091
502,1.8333333333333333
503,3.8333333333333335
504,1.8181818181818181
505,2.888888888888889
506,2.1818181818181817
507,1.6363636363636365
508,1.5384615384615385
509,2.0
510,2.625
511,2.6666666666666665
512,1.4666666666666666
513,2.125
514,3.25
515,1.2
516,1.894736842105263
517,1.0
518,1.3333333333333333
519,0.4444444444444444
520,2.3636363636363638
521,2.3076923076923075
522,1.0909090909090908
523,1.8461538461538463
524,0.4
525,1.0
526,2.0
527,1.0
528,2.588235294117647
529,2.2
530,1.0769230769230769
531,2.5714285714285716
532,2.0
533,0.6666666666666666
534,1.4545454545454546
535,1.6
536,1.5
537,1.5384615384615385
538,3.5384615384615383
539,2.823529411764706
540,2.8
541,1.8571428571428572
542,2.75
543,2.3636363636363638
544,1.2857142857142858
545,3.5384615384615383
546,3.6
547,1.8461538461538463
548,1.4285714285714286
549,1.4545454545454546
550,0.8
551,2.0
552,1.8
553,1.8
554,1.5714285714285714
555,1.2
556,0.5333333333333333
557,1.7142857142857142
558,2.769230769230769
559,2.3333333333333335
560,2.4444444444444446
561,1.0666666666666667
562,2.3333333333333335
563,1.6666666666666667
564,2.727272727272727
565,0.2222222222222222
566,1.0
567,1.7333333333333334
568,1.2857142857142858
569,0.8888888888888888
570,1.0
571,1.625
572,1.8181818181818181
573,1.25
574,2.6666666666666665
575,2.923076923076923
576,1.3333333333333333
577,0.75
578,1.4285714285714286
579,1.5
580,1.8181818181818181
581,0.5714285714285714
582,1.2
583,1.8181818181818181
584,0.4444444444444444
585,1.6666666666666667
586,2.2
587,3.0
588,1.2
589,0.5714285714285714
590,0.9090909090909091
591,1.0
592,2.3333333333333335
593,1.7777777777777777
594,1.3333333333333333
595,1.7777777777777777
596,1.4666666666666666
597,0.8333333333333334
598,1.5555555555555556
599,2.4705882352941178
600,1.3333333333333333
601,1.2
602,1.5555555555555556
603,3.142857142857143
604,2.4
605,1.4545454545454546
606,1.6
607,2.0
608,2.8333333333333335
609,2.4285714285714284
610,1.6923076923076923
611,2.769230769230769
612,1.1111111111111112
613,1.3333333333333333
614,1.875
615,1.25
616,1.2
617,2.142857142857143
618,1.4
619,1.7333333333333334
620,2.3636363636363638
621,1.7777777777777777
622,3.0
623,1.75
624,1.0909090909090908
625,1.2
626,1.8666666666666667
627,1.7142857142857142
628,2.0
629,0.875
630,1.0909090909090908
631,2.857142857142857
632,1.0
633,2.2
634,2.0
635,0.7272727272727273
636,2.6
637,3.0
638,2.533333333333333
639,3.0
