raceId,avgDriverRaceCount,averageCumRacerPoints,averageDriverExpYears,driverExpWeightedSum
421,64.28,75.26,5.0,0.8010954885486419
422,65.28,76.26,5.0,0.7688237538668703
423,64.34615384615384,74.28846153846153,4.884615384615385,0.7408569184221965
424,65.34615384615384,75.25,4.884615384615385,0.7085808894728803
425,64.64,74.38,4.8,0.6888270104217166
426,65.0,76.18,4.72,0.6371650807308123
427,62.69230769230769,72.25,4.5,0.6008937553053576
428,64.42307692307692,75.17307692307692,4.538461538461538,0.5645012226607622
429,65.42307692307692,76.13461538461539,4.538461538461538,0.5322251937114459
430,60.65384615384615,68.32692307692308,4.153846153846154,0.4925045918733907
431,61.65384615384615,69.28846153846153,4.153846153846154,0.46022856292407444
432,62.65384615384615,70.25,4.153846153846154,0.42795253397475796
433,61.148148148148145,68.68518518518519,4.037037037037037,0.41783370975403794
434,62.333333333333336,69.61111111111111,4.037037037037037,0.37955678136478516
435,65.61538461538461,73.13461538461539,4.153846153846154,0.33236996195903745
436,66.61538461538461,74.09615384615384,4.153846153846154,0.3000939330097211
437,52.91304347826087,58.78260869565217,4.130434782608695,0.7303467153412693
438,54.0,57.7037037037037,4.148148148148148,0.7039289696228128
439,57.07692307692308,60.88461538461539,4.3076923076923075,0.6848236123898319
440,58.07692307692308,61.84615384615385,4.3076923076923075,0.6525475834405157
441,59.07692307692308,62.80769230769231,4.3076923076923075,0.6202715544911994
442,60.07692307692308,63.76923076923077,4.3076923076923075,0.587995525541883
443,61.07692307692308,64.73076923076923,4.3076923076923075,0.5557194965925669
444,62.07692307692308,65.6923076923077,4.3076923076923075,0.5234434676432504
445,63.07692307692308,66.65384615384616,4.3076923076923075,0.49116743869393414
446,64.07692307692308,67.61538461538461,4.3076923076923075,0.4588914097446179
447,60.42857142857143,63.67857142857143,4.0,0.4219636753812148
448,63.666666666666664,66.96296296296296,4.148148148148148,0.39192338027243606
449,62.392857142857146,65.46428571428571,4.0,0.35855283029984886
450,65.55555555555556,68.81481481481481,4.148148148148148,0.3309615239862686
451,66.07407407407408,69.74074074074075,4.185185185185185,0.3328868909215359
452,63.074074074074076,63.18518518518518,3.925925925925926,0.29901151282810423
453,54.064516129032256,61.16129032258065,4.161290322580645,0.7088305065376928
454,55.064516129032256,61.96774193548387,4.161290322580645,0.6765371619934382
455,56.064516129032256,62.774193548387096,4.161290322580645,0.6442438174491838
456,57.064516129032256,63.58064516129032,4.161290322580645,0.6119504729049292
457,58.064516129032256,64.38709677419355,4.161290322580645,0.5796571283606747
458,58.935483870967744,65.19354838709677,4.193548387096774,0.5677539313916126
459,59.935483870967744,66.0,4.193548387096774,0.5354605868473581
460,60.935483870967744,66.80645161290323,4.193548387096774,0.5031672423031035
461,61.935483870967744,67.61290322580645,4.193548387096774,0.47087389775884914
462,62.935483870967744,68.41935483870968,4.193548387096774,0.43858055321459466
463,61.96774193548387,62.83870967741935,4.064516129032258,0.40444964433088876
464,61.12903225806452,63.32258064516129,3.967741935483871,0.3830289893015653
465,65.87096774193549,70.83870967741936,4.193548387096774,0.3437897702681494
466,66.87096774193549,71.64516129032258,4.193548387096774,0.3114964257238949
467,67.3225806451613,72.45161290322581,4.161290322580645,0.28075006581078965
