raceId,fpClusterMean,qualsClusterMean,paceClusterMean,clusterMeanWeightedSum
421,,0.013333333333333334,,
422,,0.023333333333333334,,
423,,0.05333333333333334,,
424,,0.04736842105263158,,
425,,0.045,,
426,,0.036231884057971016,,
427,,0.03333333333333333,,
428,,0.055384615384615386,,
429,,0.04923076923076923,,
430,,0.012307692307692308,,
431,,0.04923076923076923,,
432,,0.01,,
433,,0.03418803418803419,,
434,,0.09971509971509972,,
435,0.11594202898550725,0.03985507246376811,0.11956521739130435,-0.3423178088405798
436,0.08923076923076922,0.036923076923076927,0.1476923076923077,-0.2814177614769231
437,,0.05194805194805195,,
438,,0.03333333333333333,,
439,,0.024615384615384615,,
440,,0.025362318840579712,,
441,,0.055384615384615386,,
442,,0.033846153846153845,,
443,,0.05333333333333334,,
444,,0.015384615384615385,,
445,,0.033846153846153845,,
446,,0.015384615384615385,,
447,,0.036923076923076927,,
448,,0.024615384615384615,,
449,,0.12307692307692308,,
450,,0.033846153846153845,,
451,,0.027692307692307693,,
452,,0.052307692307692305,,
453,0.04923076923076923,0.055384615384615386,0.11076923076923077,-0.19336031206153848
454,0.05846153846153846,0.08307692307692308,0.28,-0.2781000596307693
455,0.34307692307692306,0.11076923076923077,0.3046153846153846,-0.9955785034153847
456,0.05846153846153846,0.06769230769230769,0.44,-0.2996197456307692
457,0.22,0.052307692307692305,0.24923076923076923,-0.6334420125538462
458,0.14153846153846153,0.043076923076923075,0.4430769230769231,-0.4786123893538462
459,0.23692307692307693,0.06461538461538462,0.5476923076923077,-0.751459958123077
460,0.16,0.08615384615384615,0.24615384615384617,-0.5184889091692308
461,0.10461538461538461,0.04,0.1723076923076923,-0.3267803798461538
462,0.08333333333333333,0.06769230769230769,0.18840579710144928,-0.3039749654608696
463,0.04,0.043076923076923075,0.2323076923076923,-0.18686406533846153
464,0.12615384615384614,0.055384615384615386,0.16615384615384615,-0.39130076344615383
465,0.13846153846153847,0.09230769230769231,0.8492307692307692,-0.6055257313846155
466,0.16,0.14461538461538462,0.31384615384615383,-0.5862567360307693
467,0.10461538461538461,0.06,0.18615384615384614,-0.3479032574769231
468,0.5661538461538461,0.08615384615384615,0.6584615384615384,-1.5901453713846154
469,0.07,0.04,0.3,-0.27148365500000005
470,0.2923076923076923,0.12,0.49538461538461537,-0.9235830974769231
471,0.11666666666666667,0.08307692307692308,0.4033333333333333,-0.4458959327
472,0.29846153846153844,0.1076923076923077,0.6307692307692307,-0.9572878206769231
473,0.2784615384615385,0.1723076923076923,0.9230769230769231,-1.0320459086153848
474,0.16,0.08615384615384615,0.8523076923076923,-0.6526414539384615
475,0.36615384615384616,0.16307692307692306,0.7876923076923077,-1.2054266795384616
476,0.11333333333333333,0.17846153846153845,0.33,-0.5077447701
477,0.1753846153846154,0.10153846153846154,0.4307692307692308,-0.6103752619384616
478,0.3169230769230769,0.06461538461538462,0.7815384615384615,-0.9963244121538462
479,0.13230769230769232,0.14153846153846153,0.5353846153846153,-0.565663051076923
480,0.14461538461538462,0.07384615384615385,0.5907692307692308,-0.5465088941538462
481,0.6661538461538462,0.2,0.72,-1.9479470562769234
482,0.1753846153846154,0.1076923076923077,0.37538461538461537,-0.6036741242153847
483,0.20923076923076922,0.09538461538461539,0.7707692307692308,-0.7617672654615384
484,0.3723076923076923,0.13230769230769232,0.6153846153846154,-1.154364298676923
485,0.07076923076923076,0.11384615384615385,0.23384615384615384,-0.32537693221538466
486,0.28,0.09846153846153846,0.6153846153846154,-0.9009843649230771
487,0.10923076923076923,0.07384615384615385,0.2569230769230769,-0.38720873303076925
488,0.13230769230769232,0.14153846153846153,0.3476923076923077,-0.5241234306153846
489,0.24615384615384617,0.14153846153846153,0.3046153846153846,-0.7894003777538462
490,0.16307692307692306,0.055384615384615386,0.3446153846153846,-0.5199252238153846
491,0.2676923076923077,0.07692307692307693,0.42153846153846153,-0.8089259391384614
492,0.11333333333333333,0.06666666666666667,0.49333333333333335,-0.4429510501333333
493,0.1723076923076923,0.033846153846153845,0.26615384615384613,-0.505394650323077
494,0.14461538461538462,0.06769230769230769,0.3353846153846154,-0.4844313160307693
495,0.16,0.07076923076923076,0.22153846153846155,-0.49914995209230767
496,0.19692307692307692,0.06461538461538462,0.21846153846153846,-0.5820402915692309
497,0.12666666666666668,0.1,0.2633333333333333,-0.45433048510000007
498,0.16,0.09333333333333334,0.3433333333333333,-0.5464789759666667
499,0.09,0.06,0.11,-0.2957693241
500,0.2246153846153846,0.07692307692307693,0.3169230769230769,-0.6817903073230769
501,0.13846153846153847,0.07076923076923076,0.18153846153846154,-0.43830604572307696
502,0.10461538461538461,0.07076923076923076,0.4,-0.4049549823076923
503,0.16666666666666666,0.05333333333333334,0.41,-0.5412090415666666
504,0.11692307692307692,0.05846153846153846,0.4123076923076923,-0.42627523880000007
505,0.10153846153846154,0.05692307692307692,0.25384615384615383,-0.352679218
506,0.28307692307692306,0.09846153846153846,0.3169230769230769,-0.8423568729538462
507,0.23076923076923078,0.09538461538461539,0.49230769230769234,-0.752130012523077
508,0.13846153846153847,0.06307692307692307,0.21384615384615385,-0.43851073926153855
509,0.16307692307692306,0.06461538461538462,0.4676923076923077,-0.555499002
510,0.18769230769230769,0.06153846153846154,0.3446153846153846,-0.5849001937230769
511,0.18461538461538463,0.06461538461538462,0.17846153846153845,-0.5434783282153847
