raceId,mean_position_difference_no_DNF
421,2.2
422,0.5
423,1.3333333333333333
424,1.3333333333333333
425,3.0833333333333335
426,1.0
427,1.2
428,1.4545454545454546
429,1.3333333333333333
430,2.8333333333333335
431,1.2
432,3.272727272727273
433,1.2727272727272727
434,1.3846153846153846
435,3.125
436,2.5
437,1.6666666666666667
438,2.0
439,0.2
440,1.5384615384615385
441,1.6666666666666667
442,0.8888888888888888
443,1.1111111111111112
444,1.3333333333333333
445,1.8571428571428572
446,1.2857142857142858
447,2.25
448,2.4285714285714284
449,4.125
450,1.1111111111111112
451,2.933333333333333
452,2.0
453,0.6666666666666666
454,2.4444444444444446
455,0.6
456,2.375
457,2.2857142857142856
458,0.6666666666666666
459,0.8
460,2.9473684210526314
461,2.736842105263158
462,1.3846153846153846
463,0.6923076923076923
464,1.8461538461538463
465,1.0
466,1.7142857142857142
467,2.1176470588235294
468,0.7272727272727273
469,3.0
470,1.75
471,3.2
472,2.533333333333333
473,2.4444444444444446
474,2.0
475,3.6153846153846154
476,1.5
477,1.0
478,3.3846153846153846
479,1.375
480,1.0909090909090908
481,3.142857142857143
482,1.2
483,1.4
484,2.0
485,1.5714285714285714
486,2.7142857142857144
487,1.2307692307692308
488,0.5714285714285714
489,2.1538461538461537
490,3.7
491,3.4444444444444446
492,2.5714285714285716
493,1.6363636363636365
494,3.6470588235294117
495,1.8823529411764706
496,1.2307692307692308
497,2.0
498,0.8
499,1.6
500,1.3846153846153846
501,2.8333333333333335
502,1.6923076923076923
503,3.5384615384615383
504,1.6666666666666667
505,2.6
506,2.0
507,1.5
508,1.4285714285714286
509,1.8461538461538463
510,2.4705882352941178
511,2.4615384615384617
512,1.375
513,2.0
514,3.0588235294117645
515,1.0909090909090908
516,1.8
517,0.9230769230769231
518,1.2307692307692308
519,0.4
520,2.1666666666666665
521,2.142857142857143
522,1.0
523,1.7142857142857142
524,0.36363636363636365
525,0.9411764705882353
526,1.875
527,0.9090909090909091
528,2.4444444444444446
529,2.0
530,1.0
531,2.4
532,1.8461538461538463
533,0.5714285714285714
534,1.3333333333333333
535,1.4545454545454546
536,1.3333333333333333
537,1.4285714285714286
538,3.2857142857142856
539,2.6666666666666665
540,2.625
541,1.7142857142857142
542,2.588235294117647
543,2.1666666666666665
544,1.2
545,3.2857142857142856
546,3.375
547,1.7142857142857142
548,1.3333333333333333
549,1.3333333333333333
550,0.7272727272727273
551,1.8461538461538463
552,1.6363636363636365
553,1.6363636363636365
554,1.4666666666666666
555,1.0909090909090908
556,0.5
557,1.5
558,2.5714285714285716
559,2.1538461538461537
560,2.2
561,1.0
562,2.210526315789474
563,1.5384615384615385
564,2.5
565,0.2
566,0.8888888888888888
567,1.7142857142857142
568,1.2
569,0.8
570,0.8888888888888888
571,1.5625
572,1.6666666666666667
573,1.1111111111111112
574,2.4615384615384617
575,2.7142857142857144
576,1.2
577,0.7058823529411765
578,1.3333333333333333
579,1.411764705882353
580,1.6666666666666667
581,0.5
582,1.0909090909090908
583,1.6666666666666667
584,0.4
585,1.5384615384615385
586,2.0
587,2.5714285714285716
588,1.0
589,0.5
590,0.8333333333333334
591,0.9090909090909091
592,2.1538461538461537
593,1.6
594,1.2
595,1.6
596,1.375
597,0.7692307692307693
598,1.4
599,2.3333333333333335
600,1.2
601,1.0909090909090908
602,1.4
603,2.933333333333333
604,2.1818181818181817
605,1.3333333333333333
606,1.4545454545454546
607,1.8181818181818181
608,2.6153846153846154
609,2.2666666666666666
610,1.5714285714285714
611,2.5714285714285716
612,1.0
613,1.3076923076923077
614,1.7647058823529411
615,1.1111111111111112
616,1.0909090909090908
617,2.0
618,1.2727272727272727
619,1.625
620,2.1666666666666665
621,1.6
622,2.823529411764706
623,1.5555555555555556
624,1.0
625,1.125
626,1.75
627,1.5
628,1.8461538461538463
629,0.875
630,1.0
631,2.5
632,0.8888888888888888
633,2.0
634,1.7777777777777777
635,0.6666666666666666
636,2.3636363636363638
637,2.727272727272727
638,2.375
639,2.8
640,1.6363636363636365
641,1.5294117647058822
642,1.625
643,2.0
644,4.0
645,1.2727272727272727
646,1.2857142857142858
647,1.1111111111111112
648,1.2
649,2.0
650,3.5294117647058822
651,2.7058823529411766
652,1.8333333333333333
653,2.6
654,2.875
655,1.3333333333333333
656,1.3333333333333333
657,3.6666666666666665
658,1.5
659,1.2941176470588236
660,1.5
661,1.3333333333333333
662,1.4666666666666666
663,1.2307692307692308
664,1.8571428571428572
665,1.5714285714285714
666,1.8181818181818181
667,1.1666666666666667
668,1.5
669,1.8181818181818181
670,1.4
671,2.3636363636363638
672,1.6
673,1.7647058823529411
674,1.375
675,0.8
676,0.3333333333333333
677,2.769230769230769
678,1.0769230769230769
679,2.2666666666666666
680,1.7647058823529411
681,1.0
682,2.769230769230769
683,1.6923076923076923
684,1.2727272727272727
685,3.3333333333333335
686,1.6666666666666667
687,1.3333333333333333
688,2.0
689,2.0
690,2.5
