,raceId,year,round,positionDisplayOrder,positionNumber,positionText,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,timeMillis,gap,gapMillis,interval,intervalMillis,laps
51,716,2004,3,12,12,12,15,christian-klien,jaguar,cosworth,michelin,1:31.331,91331.0,1.779,1779.0,0.011,11.0,12
52,716,2004,3,13,13,13,14,mark-webber,jaguar,cosworth,michelin,1:31.384,91384.0,1.832,1832.0,0.053,53.0,12
53,716,2004,3,14,14,14,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:32.433,92433.0,2.881,2881.0,1.049,1049.0,11
54,716,2004,3,15,15,15,12,felipe-massa,sauber,petronas,bridgestone,1:32.557,92557.0,3.005,3005.0,0.124,124.0,12
55,716,2004,3,16,16,16,18,nick-heidfeld,jordan,ford,bridgestone,1:32.816,92816.0,3.264,3264.0,0.259,259.0,12
56,716,2004,3,17,17,17,19,giorgio-pantano,jordan,ford,bridgestone,1:33.342,93342.0,3.79,3790.0,0.526,526.0,7
57,716,2004,3,18,18,18,20,gianmaria-bruni,minardi,cosworth,bridgestone,1:34.590,94590.0,5.038,5038.0,1.248,1248.0,11
58,716,2004,3,19,19,19,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:35.901,95901.0,6.349,6349.0,1.311,1311.0,7
59,716,2004,3,20,20,20,5,david-coulthard,mclaren,mercedes,michelin,,,,,,,4
60,717,2004,4,1,1,1,1,michael-schumacher,ferrari,ferrari,bridgestone,1:20.125,80125.0,,,,,7
61,717,2004,4,2,2,2,9,jenson-button,bar,honda,michelin,1:20.150,80150.0,0.025,25.0,0.025,25.0,15
62,717,2004,4,3,3,3,8,fernando-alonso,renault,renault,michelin,1:20.844,80844.0,0.719,719.0,0.694,694.0,13
63,717,2004,4,4,4,4,5,david-coulthard,mclaren,mercedes,michelin,1:20.844,80844.0,0.719,719.0,0.0,0.0,10
64,717,2004,4,5,5,5,3,juan-pablo-montoya,williams,bmw,michelin,1:20.975,80975.0,0.85,850.0,0.131,131.0,7
65,717,2004,4,6,6,6,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:20.996,80996.0,0.871,871.0,0.021,21.0,10
66,717,2004,4,7,7,7,10,takuma-sato,bar,honda,michelin,1:21.159,81159.0,1.034,1034.0,0.163,163.0,14
67,717,2004,4,8,8,8,7,jarno-trulli,renault,renault,michelin,1:21.198,81198.0,1.073,1073.0,0.039,39.0,12
68,717,2004,4,9,9,9,6,kimi-raikkonen,mclaren,mercedes,michelin,1:21.199,81199.0,1.074,1074.0,0.001,1.0,14
69,717,2004,4,10,10,10,16,cristiano-da-matta,toyota,toyota,michelin,1:21.257,81257.0,1.132,1132.0,0.058,58.0,13
70,717,2004,4,11,11,11,4,ralf-schumacher,williams,bmw,michelin,1:21.271,81271.0,1.146,1146.0,0.014,14.0,10
71,717,2004,4,12,12,12,17,olivier-panis,toyota,toyota,michelin,1:21.296,81296.0,1.171,1171.0,0.025,25.0,12
72,717,2004,4,13,13,13,14,mark-webber,jaguar,cosworth,michelin,1:21.393,81393.0,1.268,1268.0,0.097,97.0,16
73,717,2004,4,14,14,14,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:22.022,82022.0,1.897,1897.0,0.629,629.0,10
74,717,2004,4,15,15,15,12,felipe-massa,sauber,petronas,bridgestone,1:22.077,82077.0,1.952,1952.0,0.055,55.0,8
75,717,2004,4,16,16,16,15,christian-klien,jaguar,cosworth,michelin,1:23.222,83222.0,3.097,3097.0,1.145,1145.0,8
76,717,2004,4,17,17,17,18,nick-heidfeld,jordan,ford,bridgestone,1:23.551,83551.0,3.426,3426.0,0.329,329.0,13
77,717,2004,4,18,18,18,19,giorgio-pantano,jordan,ford,bridgestone,1:24.736,84736.0,4.611,4611.0,1.185,1185.0,7
78,717,2004,4,19,19,19,20,gianmaria-bruni,minardi,cosworth,bridgestone,1:26.199,86199.0,6.074,6074.0,1.463,1463.0,10
79,717,2004,4,20,20,20,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:27.451,87451.0,7.326,7326.0,1.252,1252.0,13
80,718,2004,5,1,1,1,10,takuma-sato,bar,honda,michelin,1:14.836,74836.0,,,,,13
81,718,2004,5,2,2,2,1,michael-schumacher,ferrari,ferrari,bridgestone,1:15.025,75025.0,0.189,189.0,0.189,189.0,11
82,718,2004,5,3,3,3,3,juan-pablo-montoya,williams,bmw,michelin,1:15.232,75232.0,0.396,396.0,0.207,207.0,13
83,718,2004,5,4,4,4,7,jarno-trulli,renault,renault,michelin,1:15.457,75457.0,0.621,621.0,0.225,225.0,15
84,718,2004,5,5,5,5,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:15.540,75540.0,0.704,704.0,0.083,83.0,12
85,718,2004,5,6,6,6,9,jenson-button,bar,honda,michelin,1:15.627,75627.0,0.791,791.0,0.087,87.0,11
86,718,2004,5,7,7,7,5,david-coulthard,mclaren,mercedes,michelin,1:15.768,75768.0,0.932,932.0,0.141,141.0,13
87,718,2004,5,8,8,8,8,fernando-alonso,renault,renault,michelin,1:15.874,75874.0,1.038,1038.0,0.106,106.0,12
88,718,2004,5,9,9,9,14,mark-webber,jaguar,cosworth,michelin,1:15.895,75895.0,1.059,1059.0,0.021,21.0,24
89,718,2004,5,10,10,10,16,cristiano-da-matta,toyota,toyota,michelin,1:15.895,75895.0,1.059,1059.0,0.0,0.0,18
90,718,2004,5,11,11,11,6,kimi-raikkonen,mclaren,mercedes,michelin,1:15.983,75983.0,1.147,1147.0,0.088,88.0,7
91,718,2004,5,12,12,12,4,ralf-schumacher,williams,bmw,michelin,1:16.308,76308.0,1.472,1472.0,0.325,325.0,17
92,718,2004,5,13,13,13,15,christian-klien,jaguar,cosworth,michelin,1:16.648,76648.0,1.812,1812.0,0.34,340.0,24
93,718,2004,5,14,14,14,18,nick-heidfeld,jordan,ford,bridgestone,1:16.746,76746.0,1.91,1910.0,0.098,98.0,12
94,718,2004,5,15,15,15,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:17.145,77145.0,2.309,2309.0,0.399,399.0,12
95,718,2004,5,16,16,16,12,felipe-massa,sauber,petronas,bridgestone,1:17.282,77282.0,2.446,2446.0,0.137,137.0,6
96,718,2004,5,17,17,17,19,giorgio-pantano,jordan,ford,bridgestone,1:17.665,77665.0,2.829,2829.0,0.383,383.0,14
97,718,2004,5,18,18,18,17,olivier-panis,toyota,toyota,michelin,1:18.392,78392.0,3.556,3556.0,0.727,727.0,5
98,718,2004,5,19,19,19,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:20.449,80449.0,5.613,5613.0,2.057,2057.0,10
99,718,2004,5,20,20,20,20,gianmaria-bruni,minardi,cosworth,bridgestone,1:21.005,81005.0,6.169,6169.0,0.556,556.0,6
100,719,2004,6,1,1,1,1,michael-schumacher,ferrari,ferrari,bridgestone,1:14.014,74014.0,,,,,16
101,719,2004,6,2,2,2,7,jarno-trulli,renault,renault,michelin,1:14.016,74016.0,0.002,2.0,0.002,2.0,19
102,719,2004,6,3,3,3,10,takuma-sato,bar,honda,michelin,1:14.020,74020.0,0.006,6.0,0.004,4.0,22
103,719,2004,6,4,4,4,8,fernando-alonso,renault,renault,michelin,1:14.138,74138.0,0.124,124.0,0.118,118.0,16
104,719,2004,6,5,5,5,3,juan-pablo-montoya,williams,bmw,michelin,1:14.212,74212.0,0.198,198.0,0.074,74.0,12
105,719,2004,6,6,6,6,9,jenson-button,bar,honda,michelin,1:14.646,74646.0,0.632,632.0,0.434,434.0,15
106,719,2004,6,7,7,7,5,david-coulthard,mclaren,mercedes,michelin,1:14.670,74670.0,0.656,656.0,0.024,24.0,13
107,719,2004,6,8,8,8,4,ralf-schumacher,williams,bmw,michelin,1:14.752,74752.0,0.738,738.0,0.082,82.0,15
108,719,2004,6,9,9,9,6,kimi-raikkonen,mclaren,mercedes,michelin,1:15.034,75034.0,1.02,1020.0,0.282,282.0,18
109,719,2004,6,10,10,10,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:15.174,75174.0,1.16,1160.0,0.14,140.0,17
110,719,2004,6,11,11,11,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:15.709,75709.0,1.695,1695.0,0.535,535.0,14
111,719,2004,6,12,12,12,16,cristiano-da-matta,toyota,toyota,michelin,1:15.861,75861.0,1.847,1847.0,0.152,152.0,25
112,719,2004,6,13,13,13,15,christian-klien,jaguar,cosworth,michelin,1:16.101,76101.0,2.087,2087.0,0.24,240.0,22
113,719,2004,6,14,14,14,12,felipe-massa,sauber,petronas,bridgestone,1:16.332,76332.0,2.318,2318.0,0.231,231.0,19
114,719,2004,6,15,15,15,18,nick-heidfeld,jordan,ford,bridgestone,1:16.385,76385.0,2.371,2371.0,0.053,53.0,15
115,719,2004,6,16,16,16,17,olivier-panis,toyota,toyota,michelin,1:16.431,76431.0,2.417,2417.0,0.046,46.0,15
116,719,2004,6,17,17,17,19,giorgio-pantano,jordan,ford,bridgestone,1:16.700,76700.0,2.686,2686.0,0.269,269.0,19
117,719,2004,6,18,18,18,14,mark-webber,jaguar,cosworth,michelin,1:17.173,77173.0,3.159,3159.0,0.473,473.0,4
118,719,2004,6,19,19,19,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:19.467,79467.0,5.453,5453.0,2.294,2294.0,12
119,720,2004,7,1,1,1,9,jenson-button,bar,honda,michelin,1:28.827,88827.0,,,,,13
120,720,2004,7,2,2,2,1,michael-schumacher,ferrari,ferrari,bridgestone,1:29.064,89064.0,0.237,237.0,0.237,237.0,15
121,720,2004,7,3,3,3,10,takuma-sato,bar,honda,michelin,1:29.127,89127.0,0.3,300.0,0.063,63.0,15
122,720,2004,7,4,4,4,6,kimi-raikkonen,mclaren,mercedes,michelin,1:29.354,89354.0,0.527,527.0,0.227,227.0,12
123,720,2004,7,5,5,5,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:29.545,89545.0,0.718,718.0,0.191,191.0,13
124,720,2004,7,6,6,6,8,fernando-alonso,renault,renault,michelin,1:29.555,89555.0,0.728,728.0,0.01,10.0,13
125,720,2004,7,7,7,7,5,david-coulthard,mclaren,mercedes,michelin,1:29.955,89955.0,1.128,1128.0,0.4,400.0,14
126,720,2004,7,8,8,8,4,ralf-schumacher,williams,bmw,michelin,1:30.176,90176.0,1.349,1349.0,0.221,221.0,9
127,720,2004,7,9,9,9,17,olivier-panis,toyota,toyota,michelin,1:30.277,90277.0,1.45,1450.0,0.101,101.0,14
128,720,2004,7,10,10,10,16,cristiano-da-matta,toyota,toyota,michelin,1:30.316,90316.0,1.489,1489.0,0.039,39.0,16
129,720,2004,7,11,11,11,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:30.519,90519.0,1.692,1692.0,0.203,203.0,13
130,720,2004,7,12,12,12,14,mark-webber,jaguar,cosworth,michelin,1:30.867,90867.0,2.04,2040.0,0.348,348.0,18
131,720,2004,7,13,13,13,7,jarno-trulli,renault,renault,michelin,1:30.986,90986.0,2.159,2159.0,0.119,119.0,11
132,720,2004,7,14,14,14,15,christian-klien,jaguar,cosworth,michelin,1:31.061,91061.0,2.234,2234.0,0.075,75.0,15
133,720,2004,7,15,15,15,12,felipe-massa,sauber,petronas,bridgestone,1:31.504,91504.0,2.677,2677.0,0.443,443.0,11
134,720,2004,7,16,16,16,18,nick-heidfeld,jordan,ford,bridgestone,1:31.956,91956.0,3.129,3129.0,0.452,452.0,12
135,720,2004,7,17,17,17,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:32.753,92753.0,3.926,3926.0,0.797,797.0,15
136,720,2004,7,18,18,18,20,gianmaria-bruni,minardi,cosworth,bridgestone,1:32.894,92894.0,4.067,4067.0,0.141,141.0,15
137,720,2004,7,19,19,19,19,giorgio-pantano,jordan,ford,bridgestone,1:33.383,93383.0,4.556,4556.0,0.489,489.0,13
138,720,2004,7,20,20,20,3,juan-pablo-montoya,williams,bmw,michelin,,,,,,,10
139,721,2004,8,1,1,1,7,jarno-trulli,renault,renault,michelin,1:12.629,72629.0,,,,,13
140,721,2004,8,2,2,2,8,fernando-alonso,renault,renault,michelin,1:12.901,72901.0,0.272,272.0,0.272,272.0,14
141,721,2004,8,3,3,3,9,jenson-button,bar,honda,michelin,1:13.026,73026.0,0.397,397.0,0.125,125.0,14
142,721,2004,8,4,4,4,10,takuma-sato,bar,honda,michelin,1:13.235,73235.0,0.606,606.0,0.209,209.0,11
143,721,2004,8,5,5,5,3,juan-pablo-montoya,williams,bmw,michelin,1:13.320,73320.0,0.691,691.0,0.085,85.0,14
144,721,2004,8,6,6,6,1,michael-schumacher,ferrari,ferrari,bridgestone,1:13.420,73420.0,0.791,791.0,0.1,100.0,14
145,721,2004,8,7,7,7,6,kimi-raikkonen,mclaren,mercedes,michelin,1:13.566,73566.0,0.937,937.0,0.146,146.0,14
146,721,2004,8,8,8,8,5,david-coulthard,mclaren,mercedes,michelin,1:13.686,73686.0,1.057,1057.0,0.12,120.0,13
147,721,2004,8,9,9,9,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:13.904,73904.0,1.275,1275.0,0.218,218.0,10
148,721,2004,8,10,10,10,15,christian-klien,jaguar,cosworth,michelin,1:14.340,74340.0,1.711,1711.0,0.436,436.0,20
149,721,2004,8,11,11,11,16,cristiano-da-matta,toyota,toyota,michelin,1:14.521,74521.0,1.892,1892.0,0.181,181.0,24
150,721,2004,8,12,12,12,4,ralf-schumacher,williams,bmw,michelin,1:14.697,74697.0,2.068,2068.0,0.176,176.0,16
151,721,2004,8,13,13,13,14,mark-webber,jaguar,cosworth,michelin,1:14.835,74835.0,2.206,2206.0,0.138,138.0,29
152,721,2004,8,14,14,14,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:14.902,74902.0,2.273,2273.0,0.067,67.0,10
153,721,2004,8,15,15,15,17,olivier-panis,toyota,toyota,michelin,1:14.916,74916.0,2.287,2287.0,0.014,14.0,16
154,721,2004,8,16,16,16,12,felipe-massa,sauber,petronas,bridgestone,1:15.332,75332.0,2.703,2703.0,0.416,416.0,12
155,721,2004,8,17,17,17,18,nick-heidfeld,jordan,ford,bridgestone,1:15.987,75987.0,3.358,3358.0,0.655,655.0,14
156,721,2004,8,18,18,18,19,timo-glock,jordan,ford,bridgestone,1:16.417,76417.0,3.788,3788.0,0.43,430.0,17
157,721,2004,8,19,19,19,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:16.579,76579.0,3.95,3950.0,0.162,162.0,17
158,721,2004,8,20,20,20,20,gianmaria-bruni,minardi,cosworth,bridgestone,1:16.825,76825.0,4.196,4196.0,0.246,246.0,17
159,722,2004,9,1,1,1,9,jenson-button,bar,honda,michelin,1:10.056,70056.0,,,,,17
160,722,2004,9,2,2,2,1,michael-schumacher,ferrari,ferrari,bridgestone,1:10.199,70199.0,0.143,143.0,0.143,143.0,16
161,722,2004,9,3,3,3,10,takuma-sato,bar,honda,michelin,1:10.251,70251.0,0.195,195.0,0.052,52.0,23
162,722,2004,9,4,4,4,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:10.351,70351.0,0.295,295.0,0.1,100.0,16
164,722,2004,9,6,6,6,8,fernando-alonso,renault,renault,michelin,1:10.749,70749.0,0.693,693.0,0.041,41.0,13
165,722,2004,9,7,7,7,16,cristiano-da-matta,toyota,toyota,michelin,1:10.802,70802.0,0.746,746.0,0.053,53.0,19
166,722,2004,9,8,8,8,4,ralf-schumacher,williams,bmw,michelin,1:10.820,70820.0,0.764,764.0,0.018,18.0,9
167,722,2004,9,9,9,9,7,jarno-trulli,renault,renault,michelin,1:10.848,70848.0,0.792,792.0,0.028,28.0,13
168,722,2004,9,10,10,10,6,kimi-raikkonen,mclaren,mercedes,michelin,1:11.222,71222.0,1.166,1166.0,0.374,374.0,14
169,722,2004,9,11,11,11,17,olivier-panis,toyota,toyota,michelin,1:11.242,71242.0,1.186,1186.0,0.02,20.0,20
170,722,2004,9,12,12,12,5,david-coulthard,mclaren,mercedes,michelin,1:11.395,71395.0,1.339,1339.0,0.153,153.0,13
171,722,2004,9,13,13,13,15,christian-klien,jaguar,cosworth,michelin,1:11.992,71992.0,1.936,1936.0,0.597,597.0,20
172,722,2004,9,14,14,14,18,nick-heidfeld,jordan,ford,bridgestone,1:12.524,72524.0,2.468,2468.0,0.532,532.0,16
173,722,2004,9,15,15,15,14,mark-webber,jaguar,cosworth,michelin,1:12.590,72590.0,2.534,2534.0,0.066,66.0,14
174,722,2004,9,16,16,16,19,giorgio-pantano,jordan,ford,bridgestone,1:12.603,72603.0,2.547,2547.0,0.013,13.0,9
175,722,2004,9,17,17,17,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:12.686,72686.0,2.63,2630.0,0.083,83.0,10
176,722,2004,9,18,18,18,12,felipe-massa,sauber,petronas,bridgestone,1:12.861,72861.0,2.805,2805.0,0.175,175.0,9
177,722,2004,9,19,19,19,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:13.869,73869.0,3.813,3813.0,1.008,1008.0,13
178,722,2004,9,20,20,20,20,gianmaria-bruni,minardi,cosworth,bridgestone,1:13.915,73915.0,3.859,3859.0,0.046,46.0,14
179,723,2004,10,1,1,1,6,kimi-raikkonen,mclaren,mercedes,michelin,1:14.513,74513.0,,,,,18
180,723,2004,10,2,2,2,9,jenson-button,bar,honda,michelin,1:14.568,74568.0,0.055,55.0,0.055,55.0,14
181,723,2004,10,3,3,3,1,michael-schumacher,ferrari,ferrari,bridgestone,1:14.571,74571.0,0.058,58.0,0.003,3.0,14
182,723,2004,10,4,4,4,10,takuma-sato,bar,honda,michelin,1:14.711,74711.0,0.198,198.0,0.14,140.0,18
183,723,2004,10,5,5,5,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:14.817,74817.0,0.304,304.0,0.106,106.0,12
184,723,2004,10,6,6,6,17,olivier-panis,toyota,toyota,michelin,1:14.833,74833.0,0.32,320.0,0.016,16.0,23
185,723,2004,10,7,7,7,16,cristiano-da-matta,toyota,toyota,michelin,1:14.885,74885.0,0.372,372.0,0.052,52.0,22
186,723,2004,10,8,8,8,5,david-coulthard,mclaren,mercedes,michelin,1:14.977,74977.0,0.464,464.0,0.092,92.0,7
187,723,2004,10,9,9,9,7,jarno-trulli,renault,renault,michelin,1:15.033,75033.0,0.52,520.0,0.056,56.0,12
188,723,2004,10,10,10,10,8,fernando-alonso,renault,renault,michelin,1:15.096,75096.0,0.583,583.0,0.063,63.0,15
189,723,2004,10,11,11,11,4,marc-gene,williams,bmw,michelin,1:15.179,75179.0,0.666,666.0,0.083,83.0,10
190,723,2004,10,12,12,12,14,mark-webber,jaguar,cosworth,michelin,1:15.350,75350.0,0.837,837.0,0.171,171.0,24
191,723,2004,10,13,13,13,15,christian-klien,jaguar,cosworth,michelin,1:15.449,75449.0,0.936,936.0,0.099,99.0,22
192,723,2004,10,14,14,14,12,felipe-massa,sauber,petronas,bridgestone,1:16.062,76062.0,1.549,1549.0,0.613,613.0,19
193,723,2004,10,15,15,15,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:16.161,76161.0,1.648,1648.0,0.099,99.0,9
194,723,2004,10,16,16,16,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:16.861,76861.0,2.348,2348.0,0.7,700.0,15
195,723,2004,10,17,17,17,19,giorgio-pantano,jordan,ford,bridgestone,1:17.104,77104.0,2.591,2591.0,0.243,243.0,12
196,723,2004,10,18,18,18,18,nick-heidfeld,jordan,ford,bridgestone,1:17.162,77162.0,2.649,2649.0,0.058,58.0,15
197,723,2004,10,19,19,19,20,gianmaria-bruni,minardi,cosworth,bridgestone,1:19.401,79401.0,4.888,4888.0,2.239,2239.0,8
198,723,2004,10,20,20,20,3,juan-pablo-montoya,williams,bmw,michelin,1:21.458,81458.0,6.945,6945.0,2.057,2057.0,8
199,724,2004,11,1,1,1,6,kimi-raikkonen,mclaren,mercedes,michelin,1:18.280,78280.0,,,,,14
200,724,2004,11,2,2,2,9,jenson-button,bar,honda,michelin,1:18.414,78414.0,0.134,134.0,0.134,134.0,12
201,724,2004,11,3,3,3,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:18.623,78623.0,0.343,343.0,0.209,209.0,13
202,724,2004,11,4,4,4,7,jarno-trulli,renault,renault,michelin,1:18.694,78694.0,0.414,414.0,0.071,71.0,14
203,724,2004,11,5,5,5,4,marc-gene,williams,bmw,michelin,1:18.832,78832.0,0.552,552.0,0.138,138.0,10
204,724,2004,11,6,6,6,3,juan-pablo-montoya,williams,bmw,michelin,1:18.912,78912.0,0.632,632.0,0.08,80.0,11
205,724,2004,11,7,7,7,5,david-coulthard,mclaren,mercedes,michelin,1:18.919,78919.0,0.639,639.0,0.007,7.0,11
