,raceId,year,round,positionDisplayOrder,positionNumber,positionText,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,timeMillis,gap,gapMillis,interval,intervalMillis,laps
0,714,2004,1,1,1,1,1,michael-schumacher,ferrari,ferrari,bridgestone,1:25.093,85093.0,,,,,13
1,714,2004,1,2,2,2,3,juan-pablo-montoya,williams,bmw,michelin,1:25.255,85255.0,0.162,162.0,0.162,162.0,9
2,714,2004,1,3,3,3,4,ralf-schumacher,williams,bmw,michelin,1:25.628,85628.0,0.535,535.0,0.373,373.0,9
3,714,2004,1,4,4,4,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:25.649,85649.0,0.556,556.0,0.021,21.0,12
4,714,2004,1,5,5,5,8,fernando-alonso,renault,renault,michelin,1:25.908,85908.0,0.815,815.0,0.259,259.0,11
5,714,2004,1,6,6,6,17,olivier-panis,toyota,toyota,michelin,1:25.916,85916.0,0.823,823.0,0.008,8.0,14
6,714,2004,1,7,7,7,7,jarno-trulli,renault,renault,michelin,1:25.927,85927.0,0.834,834.0,0.011,11.0,9
7,714,2004,1,8,8,8,14,mark-webber,jaguar,cosworth,michelin,1:26.066,86066.0,0.973,973.0,0.139,139.0,11
8,714,2004,1,9,9,9,6,kimi-raikkonen,mclaren,mercedes,michelin,1:26.127,86127.0,1.034,1034.0,0.061,61.0,8
9,714,2004,1,10,10,10,5,david-coulthard,mclaren,mercedes,michelin,1:26.133,86133.0,1.04,1040.0,0.006,6.0,11
10,714,2004,1,11,11,11,9,jenson-button,bar,honda,michelin,1:26.403,86403.0,1.31,1310.0,0.27,270.0,14
11,714,2004,1,12,12,12,16,cristiano-da-matta,toyota,toyota,michelin,1:26.597,86597.0,1.504,1504.0,0.194,194.0,17
12,714,2004,1,13,13,13,15,christian-klien,jaguar,cosworth,michelin,1:27.088,87088.0,1.995,1995.0,0.491,491.0,14
13,714,2004,1,14,14,14,12,felipe-massa,sauber,petronas,bridgestone,1:27.172,87172.0,2.079,2079.0,0.084,84.0,13
14,714,2004,1,15,15,15,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:27.195,87195.0,2.102,2102.0,0.023,23.0,12
15,714,2004,1,16,16,16,10,takuma-sato,bar,honda,michelin,1:27.592,87592.0,2.499,2499.0,0.397,397.0,9
16,714,2004,1,17,17,17,18,nick-heidfeld,jordan,ford,bridgestone,1:27.755,87755.0,2.662,2662.0,0.163,163.0,14
17,714,2004,1,18,18,18,19,giorgio-pantano,jordan,ford,bridgestone,1:28.825,88825.0,3.732,3732.0,1.07,1070.0,12
18,714,2004,1,19,19,19,20,gianmaria-bruni,minardi,cosworth,bridgestone,1:30.496,90496.0,5.403,5403.0,1.671,1671.0,16
19,714,2004,1,20,20,20,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:31.763,91763.0,6.67,6670.0,1.267,1267.0,13
20,715,2004,2,1,1,1,1,michael-schumacher,ferrari,ferrari,bridgestone,1:33.526,93526.0,,,,,11
21,715,2004,2,2,2,2,3,juan-pablo-montoya,williams,bmw,michelin,1:33.563,93563.0,0.037,37.0,0.037,37.0,8
22,715,2004,2,3,3,3,4,ralf-schumacher,williams,bmw,michelin,1:33.973,93973.0,0.447,447.0,0.41,410.0,8
23,715,2004,2,4,4,4,7,jarno-trulli,renault,renault,michelin,1:34.041,94041.0,0.515,515.0,0.068,68.0,12
24,715,2004,2,5,5,5,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:34.061,94061.0,0.535,535.0,0.02,20.0,9
25,715,2004,2,6,6,6,9,jenson-button,bar,honda,michelin,1:34.128,94128.0,0.602,602.0,0.067,67.0,13
26,715,2004,2,7,7,7,6,kimi-raikkonen,mclaren,mercedes,michelin,1:34.163,94163.0,0.637,637.0,0.035,35.0,10
27,715,2004,2,8,8,8,5,david-coulthard,mclaren,mercedes,michelin,1:34.181,94181.0,0.655,655.0,0.018,18.0,10
28,715,2004,2,9,9,9,8,fernando-alonso,renault,renault,michelin,1:34.194,94194.0,0.668,668.0,0.013,13.0,10
29,715,2004,2,10,10,10,14,mark-webber,jaguar,cosworth,michelin,1:34.381,94381.0,0.855,855.0,0.187,187.0,12
30,715,2004,2,11,11,11,17,olivier-panis,toyota,toyota,michelin,1:34.929,94929.0,1.403,1403.0,0.548,548.0,16
31,715,2004,2,12,12,12,12,felipe-massa,sauber,petronas,bridgestone,1:34.943,94943.0,1.417,1417.0,0.014,14.0,5
32,715,2004,2,13,13,13,15,christian-klien,jaguar,cosworth,michelin,1:34.953,94953.0,1.427,1427.0,0.01,10.0,16
33,715,2004,2,14,14,14,11,giancarlo-fisichella,sauber,petronas,bridgestone,1:35.036,95036.0,1.51,1510.0,0.083,83.0,10
34,715,2004,2,15,15,15,10,takuma-sato,bar,honda,michelin,1:35.144,95144.0,1.618,1618.0,0.108,108.0,13
35,715,2004,2,16,16,16,16,cristiano-da-matta,toyota,toyota,michelin,1:35.441,95441.0,1.915,1915.0,0.297,297.0,15
36,715,2004,2,17,17,17,18,nick-heidfeld,jordan,ford,bridgestone,1:36.607,96607.0,3.081,3081.0,1.166,1166.0,11
37,715,2004,2,18,18,18,19,giorgio-pantano,jordan,ford,bridgestone,1:38.059,98059.0,4.533,4533.0,1.452,1452.0,12
38,715,2004,2,19,19,19,20,gianmaria-bruni,minardi,cosworth,bridgestone,1:38.554,98554.0,5.028,5028.0,0.495,495.0,13
39,715,2004,2,20,20,20,21,zsolt-baumgartner,minardi,cosworth,bridgestone,1:39.893,99893.0,6.367,6367.0,1.339,1339.0,13
40,716,2004,3,1,1,1,9,jenson-button,bar,honda,michelin,1:29.552,89552.0,,,,,14
41,716,2004,3,2,2,2,4,ralf-schumacher,williams,bmw,michelin,1:29.690,89690.0,0.138,138.0,0.138,138.0,9
42,716,2004,3,3,3,3,3,juan-pablo-montoya,williams,bmw,michelin,1:29.696,89696.0,0.144,144.0,0.006,6.0,13
43,716,2004,3,4,4,4,10,takuma-sato,bar,honda,michelin,1:30.239,90239.0,0.687,687.0,0.543,543.0,19
44,716,2004,3,5,5,5,1,michael-schumacher,ferrari,ferrari,bridgestone,1:30.407,90407.0,0.855,855.0,0.168,168.0,11
45,716,2004,3,6,6,6,7,jarno-trulli,renault,renault,michelin,1:30.472,90472.0,0.92,920.0,0.065,65.0,10
46,716,2004,3,7,7,7,16,cristiano-da-matta,toyota,toyota,michelin,1:30.499,90499.0,0.947,947.0,0.027,27.0,12
47,716,2004,3,8,8,8,2,rubens-barrichello,ferrari,ferrari,bridgestone,1:30.513,90513.0,0.961,961.0,0.014,14.0,11
48,716,2004,3,9,9,9,8,fernando-alonso,renault,renault,michelin,1:30.774,90774.0,1.222,1222.0,0.261,261.0,12
49,716,2004,3,10,10,10,17,olivier-panis,toyota,toyota,michelin,1:30.934,90934.0,1.382,1382.0,0.16,160.0,13
50,716,2004,3,11,11,11,6,kimi-raikkonen,mclaren,mercedes,michelin,1:31.320,91320.0,1.768,1768.0,0.386,386.0,9
